name,filename,md5,dimensions,source,access,committed
cd4_perturb_de_stats,GWCD4i.DE_stats.h5ad,ecaaf82c0816e7480e76ac0108c34c75,33983 x 10282,CZI genome-scale T-cell Perturb-seq,public_czi_mit,no_large_download
genie3_masked_graph,grn_edges.tsv,d9ba82b1370e84e718ab2e1e38568d07,50000 rows,regenerated by notebook 01 (public inputs),derived_public,no_regenerate
gremln_gene_embeddings,gremln_gene_emb.h5ad,2184dc18aa0fb659315bd57f01865818,3586 x 512,regenerated by notebook 02,derived,no_regenerate
human_tf_list,human_tfs_pySCENIC.txt,7b70a0e2fb2761243c8371fb7790c381,1839 lines,pySCENIC / Lambert 2018,public,yes_resources
btla_deg_panel,btla_4h_deg_gene_level_table.csv,d561f03da5ed5a7396026a182e8b668d,1217 rows,anti-BTLA cross-link bulk RNA-seq,RESTRICTED,no_gated
btla_multiomics_long,btla_candidate_multiomics_long_evidence.csv,10fbc6ef80c1688b5650df48b65682af,1164 rows,BTLA multi-omic study,RESTRICTED,no_gated
