tf,query,artifact,result_id,bytes,sha256
CREM,CREM TCR inhibition,meta:PMC12286855,PMC12286855,2810,20cbf0026c821c114aa255eed99c9c6d4b47cbe1a3c9bc3cfe2be2d5586dbfd8
CREM,CREM TCR inhibition,meta:PMC5165720,PMC5165720,2611,6ba799f86461297e17ed38c926f61c38d73206ac08c77325766835f8ba685274
CREM,CREM TCR inhibition,meta:PMC12641238,PMC12641238,3195,ca3559667af512f9477a3a6fa7a4d63f2d8278887d5b76a890b4ee88d4b4de59
CREM,CREM TCR inhibition,meta:PMC4770719,PMC4770719,2066,b7a87909e569d6dd180011edca1eb821a9cb74092fea42fdd273a77a5c7e75c4
CREM,CREM TCR inhibition,meta:PMC12138204,PMC12138204,2431,02e691767520db8d1f31ada497efa1440f9e16048adde944ea767f255b4102ee
CREM,CREM TCR inhibition,meta:PMC5056420,PMC5056420,1788,c6d1a2b0195daf375e741e0eb3d8e289cd3c81725a3d7523fb181af0f88687d0
CREM,CREM TCR inhibition,meta:PMC12345263,PMC12345263,3395,6ce94772b461cc5145243e0ec8a0742e8c1f7db2111f8a1b632ba5808fecfd41
CREM,CREM TCR inhibition,meta:PMC5704088,PMC5704088,1677,351783d13f8502289035a1a4a09806153b82d4f07fa99dccc67ffd59eac79423
CREM,CREM TCR inhibition,meta:PMC11999874,PMC11999874,2292,ab367a68243786ac32d2934cc5113519ba1d65860d1d72863d5a021c765c95a5
CREM,CREM TCR inhibition,meta:PMC6011589,PMC6011589,2081,cc63a5b919b3f4a70fc0e2127eaae38fffcce0a1527003b1d221fa0936e388a5
CYCS,CYCS TCR inhibition,search_stdout,s_cc86a4d2,5553,0b273fde05a05c2c3630f2bf6d1371227cf0a7a8bc48833b14771d935129aaf4
CYCS,CYCS TCR inhibition,meta:PMC12546133,PMC12546133,2287,aa375d04b8e2fbdffad1f21fba12deb5c4668b2e26d0c81bef7626df75a5c3d8
CYCS,CYCS TCR inhibition,meta:PMC3951827,PMC3951827,1666,87459f45674259a18afd0a089b9325e98c78879bbaada3654a5e7b348e798550
CYCS,CYCS TCR inhibition,meta:PMC11637729,PMC11637729,2661,5ceaa818266dbf2b9c3e468c1ca778f0f9cb76f68a06bc64809379a3c3e5264c
CYCS,CYCS TCR inhibition,meta:PMC4209802,PMC4209802,2097,9872160d8c25bd67ce6b8b8512085a424a72a63c86778471c47e9dd1e49aaed9
CYCS,CYCS TCR inhibition,meta:PMC11237943,PMC11237943,2658,ef2b0971d60bede09b7647342f727212b14aa9cf139297173a4810e66570b283
CYCS,CYCS TCR inhibition,meta:PMC6670834,PMC6670834,1634,c937d776b5b974ffaea8c8e8c46ee73517dbdaedac3ed14243d65ff1d7bb07e4
CYCS,CYCS TCR inhibition,meta:PMC12346228,PMC12346228,2249,ba00994753d57c1ddb2974e1e7bd4944c1ccd9c546523991180552ffe0dfe12a
CYCS,CYCS TCR inhibition,meta:PMC2768903,PMC2768903,2743,ace59af8135fb6f04e628f727d2e095b0401735a3102bca5fc85ef944d1aa74f
CYCS,CYCS TCR inhibition,meta:PMC11014665,PMC11014665,2299,8e6f2bea172ade3f2fdef67698f8f9a5e32ed30ef9bbf3047c7c340bfdd4aad3
CYCS,CYCS TCR inhibition,meta:PMC3358016,PMC3358016,2005,a58b027284865ba5c52ac66bfdad7b6452e29a4136fe659d8ded0ee35a378318
EGR2,EGR2 TCR inhibition,search_stdout,s_f5c74799,5174,393fa263731495ed809687e008295fa2c0b80f0220ee9c72c62d3c00de7470de
EGR2,EGR2 TCR inhibition,meta:PMC11592338,PMC11592338,2891,47b689895c8e712f6422b35fb0965f69bdfee2a3e032f34dc567c3c92ce11735
EGR2,EGR2 TCR inhibition,meta:PMC3501351,PMC3501351,744,8e2284216c9a530cea97af2335504b27c5378840afd647e3715927841e6f446e
EGR2,EGR2 TCR inhibition,meta:PMC12329747,PMC12329747,3761,2bb2635c5eb8311a62775ce6dac1b264a6a67cc3858ba488fa53d8a5f023aa6d
EGR2,EGR2 TCR inhibition,meta:PMC5439026,PMC5439026,1415,ce9cf6d2f3f96c668227a57a14e9ae0f300361903455a6aff014d774357e5125
EGR2,EGR2 TCR inhibition,meta:PMC11385099,PMC11385099,2365,c0f28da000b5a019a4aef4f6fa86736b938c8398a15eb97a627e50e597d8fabd
EGR2,EGR2 TCR inhibition,meta:PMC5946152,PMC5946152,2018,56bd19af63258f34813f227f7ce3a45d9b5dbd3e857af56aae115e971f61bc59
EGR2,EGR2 TCR inhibition,meta:PMC12644210,PMC12644210,2194,383e759243923aa021f8f9386ef6132d9aa6d5c2fbeed6454e68f29489b7e380
EGR2,EGR2 TCR inhibition,meta:PMC2944839,PMC2944839,1797,b0915707305ea50c2b88ec50b4bf5be4734de4a1f8a8186b6fac7c6b6cf0d30b
EGR2,EGR2 TCR inhibition,meta:PMC12658588,PMC12658588,1270,69f643d08c31a04f5c63e9761e23ef16d81fb0649aa054968b3e86ec5939389c
EGR2,EGR2 TCR inhibition,meta:PMC3288314,PMC3288314,1462,359a4f33610f863377144aa1ed186ba9a3f4ca0bdd0cb8072c3892162c5df570
EZH2,EZH2 TCR inhibition,search_stdout,s_ff902e41,5102,80433068ee973432e0391ae29a15205172b0f4b4e0d8fe401f62d6ef6d1858a3
EZH2,EZH2 TCR inhibition,meta:PMC10863487,PMC10863487,2537,1552292d6717da8f1f788fbb987b1ad8fab6e7808b86c2ce734313dc282a4a9d
EZH2,EZH2 TCR inhibition,meta:PMC11130181,PMC11130181,2089,bbd96983b590bc9f89e7b94d1bf58ad73fb9b5e3731c039073b8272bb62c6899
EZH2,EZH2 TCR inhibition,meta:PMC6094952,PMC6094952,2001,adac64b318729a02e517fb85a9945d282cd977c9e424a06e09fcca3cfd2367cd
EZH2,EZH2 TCR inhibition,meta:PMC11569238,PMC11569238,3000,392ca6aa1fcf520989879a3a9708ad53d5c79fe167c22a262c26b2a75d5e7f17
EZH2,EZH2 TCR inhibition,meta:PMC10274685,PMC10274685,1948,a24817d4a76210f8dde91aeac707fb1a99f405ec88551b64353416e69b12b6a3
EZH2,EZH2 TCR inhibition,meta:PMC11520870,PMC11520870,2398,1a8a19666aec876bce7f5dcf739cf960f7cb5ca8c4cb2aca35822d2965191c47
EZH2,EZH2 TCR inhibition,meta:PMC4741719,PMC4741719,2027,81ada08ccef0df087e3d4afb7c8aacc5ae62cc728f73db8f542094062d044d98
EZH2,EZH2 TCR inhibition,meta:PMC10763530,PMC10763530,2791,bdf4d297a3781755a971c5f00f88d3def2ed827e3b10202b9f15370f3dd32133
EZH2,EZH2 TCR inhibition,meta:PMC5356764,PMC5356764,2015,db041654e1875a889f243b3352c72b2bd84e5527c007b54b07188fc1a0378f55
EZH2,EZH2 TCR inhibition,meta:PMC12203955,PMC12203955,1899,d3cbcbf9fc697fe92f8ba841c986637a988cbed73f5b611fa3d59ee484b02a2d
FOXM1,FOXM1 TCR inhibition,search_stdout,s_dd49c19c,5136,6f658831f6537cb9c4c80bd617e63dd124bae28ac79517d002bc7db17e6f4ba9
FOXM1,FOXM1 TCR inhibition,meta:PMC11463088,PMC11463088,2457,0609c018d118d02ab8323cba0b384a418d2c5cfcb28756ee26a9c029a85b1f33
FOXM1,FOXM1 TCR inhibition,meta:PMC11445503,PMC11445503,2394,b19248d9bbbf71053e46d6f45f158845ecb2e416afe12a551484ad415144c587
FOXM1,FOXM1 TCR inhibition,meta:PMC9561767,PMC9561767,2370,e57a3d524cde362cc134d5e6e11f6171f1a2a82333ba20f86a185e40e1e4579a
FOXM1,FOXM1 TCR inhibition,meta:PMC12515241,PMC12515241,3135,1a8be3657910d62156a691c87c0c27ccf158889ac8be58561c21dbbc38cd68b4
FOXM1,FOXM1 TCR inhibition,meta:PMC12326245,PMC12326245,2460,52ce7b0ddfc5a9b0fc794a0fa67c475b78179335513bfd6bd679d9549e01b81d
FOXM1,FOXM1 TCR inhibition,meta:PMC4258842,PMC4258842,1701,8ec662a2ae9af0d217583626258a588b4752fc1b6eb1a24696b748924f22f7af
FOXM1,FOXM1 TCR inhibition,meta:PMC12435485,PMC12435485,2293,8c29282109436f948fec3ff304c4bd3b9eaf6657d920d86f0a34fe278ed1ea9a
FOXM1,FOXM1 TCR inhibition,meta:PMC3290538,PMC3290538,2237,8452206b0700de301ee5c526cee4c92cc4ac916a1e379a7fd3daeb9ea0d4584b
FOXM1,FOXM1 TCR inhibition,meta:PMC12723259,PMC12723259,2275,15ea41dd7bdada37ac731600eee366e19130b478b666fdfd5be6d4ffb95838a6
FOXM1,FOXM1 TCR inhibition,meta:PMC12236922,PMC12236922,3583,91238082699b32997657bbf6f58654c8a6c6528977ea61ca8f729b521092a555
FOXP1,FOXP1 TCR inhibition,search_stdout,s_6e5ddcdd,5403,86cc059572e3ccb21ced76b08d902940d0429f90be30dd1d96311c47d8ca0efc
FOXP1,FOXP1 TCR inhibition,meta:PMC10811915,PMC10811915,2420,4bac0d101d29f6653290b31030ea67e7a2ebadf3bd8abacba7d1fb3cc166ee59
FOXP1,FOXP1 TCR inhibition,meta:PMC9576946,PMC9576946,1574,398c936e44669381bbe987eb2d2c0550f4863c4965c77d45741524b9b37e7d85
FOXP1,FOXP1 TCR inhibition,meta:PMC12263946,PMC12263946,2400,2b87d43e074d929bfeef888964a237bdc599e8312a6a429424e5da9582147920
