TF,candidate_group,gremln_dense_rank,genie3_dense_rank,in_gremln_top25,in_genie3_top25,classA_independent_supportive,classA_independent_opposing,classA_independent_positive_unresolved,classB_orthogonal_supportive,classB_orthogonal_opposing,classB_orthogonal_positive,classC_contextual_supportive,classC_contextual_opposing,classC_contextual_positive,n_positive_layers_classA,n_positive_layers_classB,n_positive_layers_classC,n_measured_layers,n_not_measured_layers,strongest_independent_layer,strongest_contextual_layer,evidence_item_ids,independent_molecular_support_for_decision_rule,overall_audit_status
EZH2,GREmLN specific,1,31,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
GTF3C2,GREmLN specific,3,175,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
HIRIP3,GREmLN specific,2,112,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
HMGN3,GREmLN specific,2,163,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
KIF22,GREmLN specific,1,45,True,False,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,0985a37ca7dd4ebda516921cab74b774df60f44f8cf74d4c5df28d229251a277;9cbb0a0ffdc621d8fcc315f8cdb1ab50c4d2fa9936d4a1f5bc0ebda65c06ab08;45fb646f33c08be5016a80fc5fbcd2860be79fa86dbc5818c1117911b5c90607;6ec8287e9e3846f6c316adfc1080ae4ee6a59b4b8dc721a5b5cf84980883c281;5afb34c9322839547e1f2f862a9ee19df0d1690677bf35934fa6888b07221de3;01f04059ec292ff62f8bd1cce5f1b4179ecfdcecea1863b79d8bdd12a2c0350b;78abb112a48c70e7d895a47b1dfed7549689db16013303aafb02fcc00eebb07c;54f843799b2cfd93f01c97d094bfba6be6287b8eadf24e5c4ace12d54b5bc218;6fcbc07a2e60af65611d3b7d10f25c182f3239329054cb37d31be965ebad208b;4a7fad00208d213043949488fe0c1abb0f5b051d047aa6e244bf8aecadb41ae9,False,no_qualifying_signal_in_evaluated_layers
MLX,GREmLN specific,2,121,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
MSC,GREmLN specific,3,46,True,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,d02bd034dcee3c71ff7dd273fef2cf50670d285a1c768d68b79d2b93147a8758;825422522ac3a7dd81c7093c0d5b9aef8f94e5c8848df3dfe9f606ee6fe5761f;95107e3d821e3fc2579ad7e9ea77302b82d34c4753dcaf5c552b8710175290bb;7928adb537012c0c75b0c985217f5eb2afe9acf16cedcc041d5d1b1d8beeaef5;b7c7822af30591d4bfb0d060cbed173c6a726ac5401be834845d6ca17b0c3eef;e7bf5823285f30cec529df550a612c9663981564088dd128a4e7ea2327cb1277;8839f8e11ab742e46854f0b295214a31d5e3896e962c411a4742080ae0a28750;4db6bd4cfafa59853190e30e301b7a5685604f332c547bc211f45ecc33efe3eb;932a0602b58cd74120372166e13ecc6221be8b81cf75fc0a7b9d02f34fd6aeaa,False,no_qualifying_signal_in_evaluated_layers
NFIL3,GREmLN specific,2,60,True,False,0,0,0,0,0,0,0,0,4,0,0,1,2,0,,tf_activity,3790ee98b05b36a871c874e5ff20a381b17b588f3c45dd13a19f7f02c14a76a3;b493fecb329b7f70aacdcb0f3ba6211c9487ffaa323c6359e746af82a10e9522;34aea3d1a44d1a79849d7c7b5927977ea77d8cd3aa931bc0f2a993dfea324f74;b93ed056ebf140629dd5042483d874701e6e59a4e2ff65ea7c0f30792d9f5ae1;5e8ef24da0d7a5dea3286e94e700e87e8ff87bc429a6e12649fec0098901fcad;5c315c97014d3991558f94dcbe241c6b5f0619c4e6376ef8e2023a5e9158f9e6;82ee91b27bc68663da8e1495d9ae4547973a0ce0350f977d0872ee24e12917d3;a1744b894a1ac00fa97d2f6827b29d6cdc36bb70a45b517e1647aeec95c93d0c;84367249a48e5432cea63e4c7f6c8d91eb925ef220725fb0439be8a391860d8f;b53ed5be4ea8516be6ee0b1ececd5f7341081830fe5c30d1c6ff71d9bdf79d64;f03d367b4ba750872f17c7073e521fe7d8edbe5335bdcfc9f7984fff5e1797f2;2d6dcf02526de03217ef559236c49410e368015abb5513576108f3ef6e53a254;525b7e00b6b4c93cc2cc819b0dd6d126983664cff27126a67a51c8a47d89c742;5699bcf7dd822774c33761f5f65de87a8ba5cb4e1f629eb82ecb760a34940568;efa8d3c0cd201fca6c24c072044802dc93f556f2a527acb1e74aff76d1372cc5,False,contextual_or_orthogonal_only
RBPJ,GREmLN specific,2,37,True,False,0,0,0,0,0,0,0,0,4,0,0,1,3,0,,tf_activity,4a9562f7c482d5928eab42d54cea43517b732019c083b2e31c10869d49bc238a;4698307411223de2a483ebcab60226b8b260962c459d4c2e077845ea2f7bf8e2;680811bdf175f906806e56d6a3129035210da1ddc484d6899d0b0f37c32b8631;355d5c4043fc2cd04cbf2e7603798ec42caa2d43fadd567692f9113269bd1181;527c92ad779ad411cf31298e5c8816ace72522474df0c7616b7c744a13e51f7c;064f90efb4c9a252168ba6dd198f0a28a16dfebf43eaf738d51202ba12149751;eb61eb844e49f47c9eeae2536eabf88fd7842df7723703f6e45c4236750d5336;ed77d95fdafe2559be1a9587ff8d707d54a180cf1e7a3cac0182c2d7fbb10de0;d37dc842dce3f649e1a1379dd0b7945b43b5214168b42855e1b26c9280747f0e;71b883944692e09a73b46171578069b4532ef98ffdde4449078ca7cfe8db74b6;c453517a4851bcaee72bb7d017cf828c3ca0e847bea5ca25ff7b3bcfa1347960;9f8c5928e0ed7158f3839ac0b3f31f9b3bc6b422d1cfabf594446b925c87e296;0a3051de945d71dcf80c4c6d3b815c6fd3d45ad4b30721db026c8f61a87fd574;c25ac28c29766fd607d4b0b2cdb6e6ec5fe67ad2118bc2b01e95e3e2972bcfc1;d1ce1e352adf399f8cfe6aa1da43f978b3a15ded8b6f3e055c0b8f9ebf511aa7;0b1496b142cdfa0c4ec57402dd3a5f457bbe8e5d3db08d3e806312df8b5e36c7;8c7104b28ed4803a854512d9018660c2d989dc002980c677c6d5bf47a6e26102;5c0cc3f451698a3bc2cf7751ef1a98e78d4d22fe09a4a265dfd7607bbf031657;5da56b9d4d7917311b5d7606f525c11383e02e44d31df297a2c16d73c7e92b8e,False,contextual_or_orthogonal_only
SNAPC4,GREmLN specific,2,154,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
SRP9,GREmLN specific,3,175,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
STAT4,GREmLN specific,2,111,True,False,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,tf_activity,813afca560f77fa2a03d52cf79e65aad5f8270f42c62f52584f79d62daecfc08;757043ca5926879a875c15f0e705813824c08fc3d8ee62fb880f532225bca019;95e9def8f0dd6713f61c204d73e2949dd255640e6722a475df1b221cb621e0e3;f2611ce70451f0dd206e5c3a49851822146500a29bd69f33642c84e9124a0823;794e747365e28e8b7d9a8d9aa15f765eb3decab87cd99f96a3ce8bd9a1c79895;dd8717e531147c54f9d63cbef712c64d8fad431392d8127c252faf025fe7b145;220530613be267598f4c16204bfcce3c2f74bd8336064fef84f632e853772884;4e46f78a30f0a78ed6fc5202dd4ffa7cb01f5ff838a950a6b39248558742c713;b401ffe4ebeb15681e82a111ecef450d395219fcb8415514b28e8248c062f40c;696499b1c08bea94a0e1735cbceb6c18b911d3330d527da85447191901b23973;200024fbbb80a1e3cfaaa0f54f76b17b5c39e4e1fe150b81828c276ef42fd072;ca2ce3bbca0678ba7968198ec15a0807a1a30b9ffa4a3788bc7f73a22e1a2e8b;b592f0db65ae4258acd046b2b0145e2da6168e0878012f852499d96caa2c0750;75b5ebd87a903d47ea562b7c69d53b36bb8fb4312b77b8b3aafbf684b9a1a5a2;640b7be31d1f9d2ad6540477c679be8c1fd648635a7d8c74bf3dff9c8e8ba2fc,False,contextual_or_orthogonal_only
STAU2,GREmLN specific,2,47,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
TFDP1,GREmLN specific,3,38,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
ZNF121,GREmLN specific,3,175,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
ZNF706,GREmLN specific,3,167,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
CREM,shared,2,18,True,True,0,0,0,0,0,0,0,0,3,0,0,2,3,0,,tf_activity,b2d14b705c678ce68f5d9cc59552b158c4ef6d6384bb60d71b894cc49796c9a7;fd8be17582f48c49cf532fc52e79d025f739ed1c3bf68517c6233570de94bf55;9bd1a84c0ce737b6c38b5df38f1dd06c6688c42512043f2349dc9983ae736762;107114fd1f0dc4abea01dbee14d42dbfb0cc7ea40f5fee9adf5a5f9a1e547fda;8484fa1cd75398d68cd2d3c6e79e7466c793ec5234595508a11c63892779196e;dff03850ecbb081e75e4e934cb8a91489dcb245a625b37eb547a32b631a39729;08465c48c7e432e7b3091867c513e70ae0c896a1115f0c08ed6e7ffc89a5a671;edfe05444fad8eb52483c2ab11d5ab18e3a7455d65ec26ea146efae8fd5f81e1;9db6d0f9ef8d59f2dacafd1b02e74e7ec81b0eb2257e721b5a503d19f5db41d7;39f323b4596fb44daf15b522a6a55401fd1cabf6d79f0e5105a6e717ba5ebcfa;974e2a0eac6de6cb35fbe0804effde83ec16bc739cd5570e0d9e3ddab1d8f5c2;d13e19da390360d6b026cad8a3d48e0fa7d6b499e8f620b9c8eece058e4be815;dcb69c3fa37fcca4266a15369851ff200ab25587ab5df01ed62dc730731c749d;a9b511602e43988d283ffaebb0b740991e794a4dabf1bb6cf04d7bbfcb6806c8;4302da0adc0bed5c5dce2cf7b25e153efb7685beb65634f4be0344361708f4ba;90139596da5ae6e31aa3da7ba4aab02ea789bd0fcbb996cc6538f6c849a11eb2,False,contextual_or_orthogonal_only
IRF8,shared,3,5,True,True,0,0,0,0,0,0,0,0,3,0,0,1,2,0,,tf_activity,f9e7f7ca5604c558e66185b7d81be39cd3817b6b744a521afaed54f1a62eef60;d3ab42fe1ee47cf59fbbfc815942386e79ee987d4359801ea2209bff3182c6f9;b7ffa39a53992aabf8eb7686884e6d8f27f76c37fc79b1119a7c77e9a4183b53;016e0c37c747246d4b2d5ed7dabe3aa60856be3b66121853cafe1b668fbf5098;d54e4b4df337729141fe0eabed8628deed759dabba1e3699339818dd1314fe9c;6382de131dc111e58d3cc5b7da1e6715a2d5987fefe7e34739702e084cd3cdd3;3f981691c392f7fa3de961befbb46c1abe013d81088109bbff8e84903a916642;fb4b5aec980dbc3760ef90f31a0e37e885d507c3ff60add9c50ca719e8009533;05d6706fe5beadffdffcd204993608da6c6ec98dae78c33b95810be5d1e1e06e;f5dc08088d65a8656369aada5828916309f9a31424a0cd8a43bc503cd2baeabb;7d1ab736b06c1e8cd2d02e34e59f1354654bdc9313730a2b7c97487687557f09;439ed34237cb8955a64fff20ee3cda7add818ecfeb51de78c06e76626264e827;b67250198c9a661c247e89494019f228408989896b676edf96ab1d9e9fb08d11;ce215dc3519b2c51c3011a6d73175e56074d4c78fe8f837bc61c0e6ef0cbd535;eb8a5c073d10a180bf76870a44566a9cd352bec4ee060c4b822820b4270a7bb3,False,contextual_or_orthogonal_only
JUNB,shared,3,2,True,True,0,0,0,0,0,0,0,0,9,0,0,2,2,0,,transcriptomics,3cdc43a0626c1be0d7e42b99b84e870e9bd4b8319fda3e0d8654e4503a7c5184;605002f9fd9d9cb8f85e748f9aa8d05b98effbad7bc3106345f01b604f63dd80;3db333e2f852593eac5ee30b1b374881206e9bda573b52682cb34d9560a30f5d;d61bc338bd963a4cd4b1cff8ec24acb1ab677bf962ae7375e330425530b33aca;33ba57b98ee0b9b8a924268410f5d1bb9cd636e325671c2a33abb4328f48a2ba;3a1675a42323beb2b1a3fa479a15303e9653b34574667b67b6acfdc2a88e21e8;f274444287bc6d62f84e9fe005e800f9a1d1f6308cb5f9d431e0e2c68d51ad5c;3c326042a62752d1dccab09f038a0f500b86b2902bbf7c13b3971d1cd9b78ac4;08cd4a57dece799fd213842310ee0ae88c7204111efad50c9a35e3c142a6bd4b;dcdeff10847608ad15de3b2ef489153121c2ac5d82da1ce761189e8a59f89955;e294bf276f2f1c03f0ed0a5f071e4e840a0105f1b76c66d0bcfef6194a67b2b8;31b121a64d8e221f4e08234adc62fafda9f8bf9fd84917b3148882d07f63f208;d61b8bd7786475ba777b5d48f720786baf248e81403d991c338175f0cbc423a7;ea34c2ae3a5ca8a12c558fcdd0dbbf2fafd7098fe8ac1b96dbc762a544b4e966;9054aa5ece21c043386c3700ff41e19cd2b7eca6af5687d6abecc5de2120773f,False,contextual_or_orthogonal_only
PLAGL2,shared,3,8,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,False,source_unavailable_not_evaluated_by_08e_pipeline
PRDM1,shared,3,25,True,True,0,0,0,0,0,0,0,0,5,0,0,2,2,0,,transcriptomics,9daeacc100512d9b941b395a0f1067a86378fcd8eb8b81b136c8545e8de36e22;ec48846b24b0266375f30652cd262975ec94c18eb736d4b006d0d089d8491702;cf435bdbfdd96d9a45de1b7cc116f3379e2b65781a6e99a2528e20556a40067a;8303bcb55f6e5981b3321ea431f809d2a6d6993328a954fcaef2f6dfa8e26566;b739579b7bb2972164f14ba111057c0048b9b931919effddfbce42a611518d0e;7fa7d6d65938fa334c177d55d621cba131e14cc5e027c27d9135f2186be1949c;bc6bff7cb084137f2026b22fd3b43aee830474043123dc4c369acff2d4c01ae9;bc6f6d7a7d2599f70a1b95895379c33f9408796699e58aac8f1ad06165d26c75;fc37368efbca3658e192713e12a7985c6fd4adcb133a8a171a363702350ffa6c;7cf202accb606dcd5c4c78d85ae1dd8a069490aaaa02b57be5a5a23b94eb1986;88e615b08d22fdfc6ac5e0359c29b91270c3e1dd626628686581509273fb5bc4;2ab280ab01f6eb09a57ffe3e2b20f27965513cf5c2f5e783b8c355d294e86857;5afbf4febd9353abd00b167201714b49abe44c7d51cb2a4a37154bbd9f2ce584;677a665b5a073c3ab586e399bd2e6d9a27fa0b09283fbab8417146ea7e9b0b54;8e67cbec54542097b7f22adf2c839b190332c0648cef6b934016ed4e27145b93,False,contextual_or_orthogonal_only
STAT1,shared,2,6,True,True,0,0,0,0,0,0,0,0,9,0,0,2,4,0,,tf_activity,956ca5d7945920a8abd94c0a47540a9cacbe375e119ac5b8e6c97ee7443edc53;6e034c6ff1f2aa136d405d88acc173f0f6869323e8272257159eee501292f4b6;e06de0a3580525debe072d8878eeabb5d6623fe9d613e87d2814c83aa9efd9bb;461ffdc651f3ba8fb033b9993a1a22e69c353a37cf29122db6b7a4a0bdcc3024;d88b8241f77fff65fb79c4094ee3b7e5e04909fcc5431e84d9cf9d80b30be4a4;fd8bf6c5e04e3eba41b08edde33f5ab29103490516d1cdac21d2c60f3c2aea25;564d089e8bceb9835f778ebf93d80d8da20834c915d1f234c7dacaa1995eb7b1;5251384b9a36d02d372461adca2e7fa33e697f47efb2ef45cac1313d1eb42536;bd60fad1dd821f457573c13a05d85a4c519ffeb26b46576b71b84b15ae8845c6;9cb8f74efd267e0920ca90af16decba90b510f3258897979064592fc791e553a;037b657a0a0fe9fd37cb31dae066f50d703741c8386ed8ea33a5a95bb60e3388;a4424e1db7a3e6caf9029e46632042e1c014f4db3c9c0dae8e144693e2191e44;e757ebc33e4de46bf2bed02807242f8e7d11f399ba2e3ab37a8f34f6e36f5099;cc8dda385e0d9f3ceff62a70d2b908d5b9e0255b7411f83e07c95f85799f72b7;d2b0b6fde34c8c3b15c77065005b85439f37c81caab1a9d0d57b5f53561e263a;970e48d3210119913d836fb501d1bd13ad967494751b060a6a664606bf034014;6c41e3a45a540acf83f354d90df4f82e005ee68522412f943d016cb7301a9db4;7135bdb08a625cc23a846a35dd9a918288780f57fe0c7511eb70fb390590b92d;7e34d369475916ff8ff4244f56ab844582ad48729bdc95b4848c87301d03f085;5c33dcf59b2216b1e84d5310e7d0a144ea28c6549ab6272bf07c20787bfa78d5,False,contextual_or_orthogonal_only
ZBTB32,shared,3,9,True,True,0,0,0,0,0,0,0,0,4,0,0,1,2,0,,tf_activity,8591e24434d475ebcdba41ef6eafecdc26306f700b29084b77491431cb68b788;ad8cd16988505e13d8d292ff25fd74508f18040a39213314a0e6981676d39d47;f2a921037323c5e5d6120ef879414f75b9f22b331b4cfd391f5a10b363dcaf77;020a74bd10c00eb35164e7e0d9d05acbb7e647761c043640466ad53b536f0ed6;e1d87752094127bdc222c11633e6287abdf63dac4d97b55a873f3dfc2fc1e248;80d67e5fb002433d8c39391bc858a160936ca73e7a1fef469001fa014a1cf2ba;e3e881ada3d5f4a681e128a79dd193addd2e126523014372f2682bc125bc08c2;a94f26d7a5b63f88cbb5dca11b670b48e3d096e099b773286f0eeb125133e819;1c9d77eb1c13dd543fba950dc578c92452c033e0c66064330582929abf8d9e51;a9bfc378b54c29c18758ea102050be48ff251ee4ab41c35cb044842155331fa3;c047112d05e6a76e451d3e22a8d38d263b41213399178c3bf31b7eeb71b517cd;a3917cf2bceeb74e5e076771f99ae1fb18150f685ace08365827477244686819;e280411d226041796c8367e3731c536454bd5e36e3d2b8fb5391ca55204e7f9b;058484adb25f266465ec249360f30633ed424ae88175dabb387c4c66cd172afa;9693c902f7b8f72635922f488de6a8598777046f570bdd883e0e80f29526bb34,False,contextual_or_orthogonal_only
